Aikðtelë Pramonës g. 12,0001,.01.,0.29,0.07,0.22,1.00,vnt,
Aikðtelë Auðros al. prie savivaldybës (apribota gatvës bortais asfaltbetonio danga),472,1001,5.850.32,5.850.32,,1.00,vnt,
Aikðtelë Auðros al. 47 (apribota gatviø bortais asfaltbetonio danga),473,1002,2.114.23,2.114.23,,1.00,vnt,
Aikðtelë Kudirkos -Ðatrijos sankryþa (apribota gatviø bortais asfaltbetonio danga),474,1003,3.562.33,3.562.33,,1.00,vnt,
Aikðtelë Basanavièiaus-Gamybos g. (apribota gatvës bortais asfaltbetonio danga),475,1004,13.988.65,13.988.65,,1.00,vnt,
Aikðtelë Vasario 16 osios g. (apribota gatvës bortais asfaltbetonio danga),476,1005,3.851.95,3.851.95,,1.00,vnt,
Aikðtelë Varpo g. 22 (apribota gatvës bortais asfaltbetonio danga),477,1006,5.531.74,5.531.74,,1.00,vnt,
Aikðtelë Varpo g. 28 prie technikumo (apribota gatvës bortais asfaltbetonio danga),478,1007,2.432.81,2.432.81,,1.00,vnt,
Aikðtelë Pramonës g. 4 (apribota gatvës bortais asfaltbetonio danga),479,1008,5.647.59,5.647.59,,1.00,vnt,
Aikðtelë Pramonës g. 6 (apribota gatvës bortais asfaltbetonio danga),480,1009,7.240.50,7.240.50,,1.00,vnt,
Aikðtelë Tilþës g. prie Mildos (apribota gatvës bortais asfaltbetonio danga),482,1010,7.935.59,7.935.59,,1.00,vnt,
"Aikðtelë Tilþës g. prie ""Cento"" (apribota gatvës bortais asfaltbetonio danga)",483,1011,6.545.41,6.545.41,,1.00,vnt,
AikðtelëGardino g.8  prie teniso kortø (apribota gatvës bortais asfaltbetonio danga),484,1012,4.691.84,4.691.84,,1.00,vnt,
Aikðtelë Tilþës g.19 (apribota gatvës bortais asfaltbetonio danga),485,1013,6.516.45,6.516.45,,1.00,vnt,
Aikðtelë Lyros g. 13 (apribota gatvës bortais asfaltbetonio danga),486,1014,9.441.61,9.441.61,,1.00,vnt,
Aikðtelë Lyros - Dainø g. 19 (apribota gatvës bortais asfaltbetonio danga),487,1015,4.807.69,4.807.69,,1.00,vnt,
Aikðtelë Kvieèiø g.   (B),6.1.1.5,101569,8.340.41,1.760.83,6.579.58,1.00,vnt,
Aikðtelë Eþero g. 61 prie kapiniø (apribota gatvës bortais asfaltbetonio danga),488,1017,3.591.29,3.591.29,,1.00,vnt,
Aikðtelë Architektø g. prie Arkados (apribota gatvës bortais asfaltbetonio danga),489,1018,8.659.64,8.659.64,,1.00,vnt,
Aikðtelë Tilþës g., 28490,1019,4.768.30,4.768.30,,1.00,vnt,
Aikðtelë Dainø g.,492,1020,4.523.86,4.523.86,,1.00,vnt,
Aikðtelë Pagëgiø g. 74,494,1023,1.882.24,1.882.24,,1.00,vnt,
Aikðtelë Tilþës g. prie Krymo 8-10,495,1024,5.754.17,5.754.17,,1.00,vnt,
AikðtelëTilþës g. 190,6.1.1.5,102514,17.276.70,3.071.41,14.205.29,1.00,vnt,
Aikðtelë Basanavièiaus g. 63,496,1029,14.689.53,11.242.19,3.447.34,1.00,vnt,
Aikðtelë Lyros g. 19a,498,1030,9.154.60,7.006.22,2.148.38,1.00,vnt,
Aikðtelë Auðros alëja 49,499,1031,1.175.86,899.93,275.93,1.00,vnt,
Aikðtelë Turgaus a. 12,500,1032,3.658.48,2.799.89,858.59,1.00,vnt,
Aikðtelë Auðros al. 64 A,501,1033,16.937.56,12.161.36,4.776.20,1.00,vnt,
Aikðtelë Mickevièiaus g. 2 A,502,1034,5.427.20,3.818.75,1.608.45,1.00,vnt,
Aikðtelë Mickevièiaus g. 11 Mickevièiaus g. 9,503,1035,11.665.90,8.208.63,3.457.27,1.00,vnt,
Aikðtelë Aido g. 12,505,1037,11.526.88,8.061.93,3.464.95,1.00,vnt,
Aikðtelë Metalistø g. 8,506,1038,43.732.62,30.587.00,13.145.62,1.00,vnt,
